id;Signature;Author;Title;First line;Year;Meter;Razmer;Razmer_wclaus;Genre subtitle;Source_name;Place;Year;Volume;Number;Page;Type;Перепечатки;Meter;Стоп;Клаузула;canon_ou_non;corpus
146;Д. Гл.;Глебов Д.П.;Гробница Бенамара, персидского поэта;Заида! Твой голос отрадный Зефира;1825;Амф;Амф4;Амф4жмжм;Элегия. Из Мильвуа;НЛ;;1825;Кн. 11;№ 2;93-95;per;;Амф;4;жмжм;nc;core
147;Е. З-ий;Зайцевский Е.П.;Элегия;Не обольщай меня напрасно;1825;Я;Я4;Я4жмжм;;НЛ;;1825;Кн. 12;№ 5;143-144;per;;Я;4;жмжм;nc;core
148;Е. З-ий ;Зайцевский Е.П.;Элегия;В бездействии души и в праздности досуга;1825;Я;ЯВ;ЯВнеурег;;НЛ;;1825;Кн. 12;№ 6;188-189;per;;Я;В;неурег;nc;core
149;Ободовский Пл.;Ободовский П. Г.;Сельская элегия;Два ясеня дружно сплетяся ветвями;1825;Амф;Амф4;Амф4неурег;;НЛ;;1825;Кн. 13;№ 7;54;per;;Амф;4;неурег;nc;core
150;Загорский;[Загорский];Элегия. Воспоминание;Где ваша красота;1825;Я;Я3;Я3неурег;;НЛ;;1825;Кн. 13;№ 9;185;per;;Я;3;неурег;nc;core
152;;[Без подписи];Элегия писанная на развалинах нагорного замка;Под кровом сумрака долины засыпают;1815;Я;Я6;Я6жжмм;;Демокрит;;1815;Ч. 2 Кн. 5;;67-72;per;;Я;6;жжмм;nc;core
154;Днс. Давд.;Давыдов Д.В.;Элегия;Пусть бога-мстителя могущая рука;1815;Я;ЯВ;ЯВнеурег;;Амфион;;1815;№ 5;;66-69;per;;Я;В;неурег;nc;core
155;Г. Федоров;[Г. Федоров];Узник к своему другу;Клеандр! Твой друг средь хладныя темницы;1816;Я;Я6;Я6жжмм;Элегия;Дух журналов;;1816;Ч. 16;;447-452;per;;Я;6;жжмм;nc;core
156;Князь Шаликов;Шаликов П.И.;Элегия на кончину ИМПЕРАТРИЦЫ ЕЛИСАВЕТЫ АЛЕКСЕЕВНЫ;О скоро скоро Царь небес;1826;Я;Я4;Я4мжмж;;ДЖ;;1826;Ч. 15;№ 13;20-21;per;;Я;4;мжмж;nc;core
157;Василий Трубников;[Василий Трубников];Элегия;Наслажденье, наслажденье;1826;Х;Х4;Х4жмжм;;ДЖ;;1826;Ч. 15;№ 13;25-26;per;;Х;4;жмжм;nc;core
160;А. Бистром;Бистром А.;Елегия;Завеса с глаз моих спадает;1826;Я;Я4;Я4неурег;;ДЖ;;1826;Ч. 15;№ 16;143-144;per;;Я;4;неурег;nc;core
161;А. Дер--кий;[А. Дер--кий];Элегия;Какая радость засветилась;1826;Я;Я4;Я4неурег;;ДЖ;;1826;Ч. 15;№ 17;192;per;;Я;4;неурег;nc;core
162;Пав. Межаков;Межаков П.А.;Элегия;Возможно ли любить и жить в градских стенах;1815;Я;Я6;Я6ммжж;Подражание Проперцию;Чтение в беседе;;1815;;№ 18;55-57;per;;Я;6;ммжж;nc;core
165;Н. Иванчин-Писарев;Иванчин-Писарев Н.Д.;Элегия;Невинный пред тобой сам Бог тому свидетель;1828;Я;Я6;Я6жмжм;;Новейшия стихотворения Н. Иванчина-Писаева;М;1828;;;53-54;col;;Я;6;жмжм;nc;core
166;Аким Нахимов;Нахимов А.Н.;Элегия;Восплачь Канцелярист Повытчик Секретарь;1822;Я;Я6;Я6ммжж;;Сочинения Акима Нахимова;М;1822;;;31-32;col;;Я;6;ммжж;nc;core
167;Бороздна И.;Бороздна И.П.;Могила юноши;Увы здесь юноша во цвете лет сраженный;1828;Я;ЯВ;ЯВнеурег;Подражание Гервею;Опыты в стихах Ивана Бороздны;М;1828;;;87-89;col;;Я;В;неурег;nc;core
170;Бороздна И.;Бороздна И.П.;Мое убежище;Я вижу вновь тебя о край моих отцов;1823;Я;ЯВ;ЯВнеурег;раздел Элегии;Опыты в стихах Ивана Бороздны;М;1828;;;96-101;col;;Я;В;неурег;nc;core
172;Жуковский В.;Жуковский В.А.;Сельское кладбище;Уже бледнеет день скрываясь за горою;1816;Я;Я6;Я6жмжм;Элегия;Стихотворения Василия Жуковского;СПб;1816;Ч. 2;;27-35;col;;Я;6;жмжм;nc;core
173;Жуковский В.;Жуковский В.А.;Славянка;Славянка тихая сколь ток приятен твой;1815;Я;Я6664;Я6664мжмж;раздел Элегии;Стихотворения В. Жуковского;СПб;1824;Т. 2;;181-188;col;;Я;6664;мжмж;nc;core
174;Жуковский В.;Жуковский В.А.;На кончину ея величества королевы Виртембергской;Ты улетел небесный посетитель;1819;Я;Я5;Я5жмжмжмжж;раздел Элегии;Стихотворения В. Жуковского;СПб;1824;Т. 2;;191-199;col;;Я;5;жмжмжмжж;nc;core
175;Жуковский В.;Жуковский В.А.;Вечер;Ручей виющийся по светлому песку;1824;Я;Я6664;Я6664мжмж;раздел Элегии;Стихотворения В. Жуковского;СПб;1824;Т. 2;;203-207;col;;Я;6664;мжмж;nc;core
200;;Батюшков К.Н.;Последняя весна;В полях блистает Май веселый;1816;Я;Я4;Я4жмжм;;ВЕ;;1816;;№ 11;181-183;per;;Я;4;жмжм;nc;core
201;Батюшков;Батюшков К.Н.;Елегия из Тибулла;Мессала! Без меня ты мчишься по волнам;1816;Я;Я6;Я6ммжж;Вольный перевод;ВЕ;;1816;;№ 12;255-261;per;;Я;6;ммжж;nc;core
202;Б…..;Батюшков К.Н.;Мщение;Неверный друг и вечно милый;1816;Я;ЯВ;ЯВнеурег;Из Парни;Вестник Европы;;1816;Ч. 89;№ 19-20;204-206;periodicals;;Я;В;неурег;nc;core
205;Г.;[Г.];Элегия;Грустно грустно расставаться мне;1815;Х;Х4;Х4д (нерифм);;Российский музеум;;1815;;№ 8;153-154;per;;Х;4;д (нерифм);nc;core
206;;[Без подписи];Элегия на потерю рожка;Плачь плачь мой бедный нос и токи лей на землю;1816;Я;Я6;Я6жжмм;;Харьковский демокрит;;1816;;№ 5;35-36;per;;Я;6;жжмм;nc;core
209;В. Олин;Олин В.Н.;Тибуллова Элегия;Нет, свет моих очей! верна любовь прямая;1818;Я;Я6;Я6жжмм;Вольный перевод;Журнал древней и новой словесности;;1818;№ 1;;18-20;per;;Я;6;жжмм;nc;core
210;В. Олин;Олин В.Н.;Элегия на смерть птички;Где ты радость - птичка, утешенье девы;1818;Х;Х63;Х63ж;Посвящена А.М.Б.;Журнал древней и новой словесности;;1818;№ 3;;137-138;per;;Х;63;ж;nc;core
211;Яков Толстой;Толстой Я.Н.;Тибуллова Елегия;Я в гордости мечтал что сил моих достанет;1818;Я;Я6;Я6жжмм;Из 1й книги, вольный перевод;Журнал древней и новой словесности;;1818;№ 9;;22-25;per;;Я;6;жжмм;nc;core
212;Писарев;Писарев А.И.;Бедный негр;С родимым брегом разлученный;1820;Я;Я4;Я4жмжм;Элегия (Подражание Мильвуа);Каллиопа. Труды Благородных воспитанников университетского пансиона;М;1820;Ч. 1;;142-144;alm;;Я;4;жмжм;nc;core
214; -нъ;Бестужев-Рюмин М.А.;Возвращение на родину;Я возвращуся к вам родимые дубравы;1824;Я;Я6;Я6неурег;Элегия;Майский листок;СПб;1824;;;1-5;alm;;Я;6;неурег;nc;core
215; 2.17;[2.17];Раскаяние;Я не Поэт - возьмите лиру;1824;Я;ЯВ;ЯВнеурег;Элегия;Майский листок;СПб;1824;;;11-12;alm;;Я;В;неурег;nc;core
216;В. Чюриковъ;[В. Чюриков];Элегия;Все мрачно, чуждо все для сердца моего;1815;Я;Я6;Я6мжмж;;Каллиопа. Труды Благородных воспитанников университетского пансиона;М;1815;;;160-161;alm;;Я;6;мжмж;nc;core
217;Д. Д-въ;Давыдов Д.В.;Угрозы;О ты, смущенная присутствием моим;1829;Я;ЯВ;ЯВнеурег;Элегия;Северная звезда;СПб;1829;;;29-30;alm;С небольшими разночтениями повторно опубликовано: Стихотворения Дениса Давыдова. М., 1832. С. 7-8;Я;В;неурег;nc;core
218;Ап.;Вяземский П.А.;Элегия;О ты которая из детства;1829;Я;Я4;Я4жмжм;;Северная звезда;СПб;1829;;;65;alm;;Я;4;жмжм;nc;core
219;Карлгоф;Карлгоф В.И.;Киргизская элегия;Как здесь вился широкий пал;1829;Я;Я4;Я4неурег;;Северная звезда;СПб;1829;;;127-128;alm;;Я;4;неурег;nc;core
220;* *;Бестужев-Рюмин М.А.;Предчувствие;Не ободряй меня друг нежный;1829;Я;Я4;Я4жмжм;Элегия;Северная звезда;СПб;1829;;;129;alm;;Я;4;жмжм;nc;core
221;П.Дp-въ;Драгоманов П.А.;Сиротки;Зима свирепствует дни ясные прошли;1829;Я;ЯВ;ЯВнеурег;Элегия;Северная звезда;СПб;1829;;;237-240;alm;;Я;В;неурег;nc;core
222;Д. Д-въ;Давыдов Д.В.;Утро;Все тихо и заря багряною стопой;1829;Я;ЯВ;ЯВнеурег;Элегия;Северная звезда;СПб;1829;;;293-294;alm;;Я;В;неурег;nc;core
224;Д. Штейнберг;Штейнберг Д.И.;Элегия;Не утешай меня;1829;Я;Я4;Я4неурег;;Зимцерла;М;1829;;;58;alm;;Я;4;неурег;nc;core
226;В. Григорьев;Григорьев В.Н.;Элегия;Мечты златые снов бывалых;1829;Я;Я4;Я4жмжм;;Цефей;М;1829;;;185-186;alm;;Я;4;жмжм;nc;core
227;Дмирий Попов;Попов Д.;Элегия;Спустился на поля прохладный тихий вечер;1825;Я;Я6;Я6нерифм;К Барону Фон-Гаубицу. С немецкого;Калужские вечера;М;1825;Ч. 1;;172-175;alm;;Я;6;нерифм;nc;core
228;Н. Языков;Языков Н.М.;Элегия;Мечты любви мечты пустые;1829;Я;Я4;Я4неурег;;Подснежник;Спб;1829;;;240-241;alm;;Я;4;неурег;nc;core
229;М.В.;Вронченко М.П.;Элегия на смерть бешеной собаки;О люди добрые! моей;1830;Я;Я4;Я4мжмж;Из Гольдсмита;Подснежник;СПб;1830;;;57-59;alm;;Я;4;мжмж;nc;core
230;В. Гаркуша;Гаркуша В.;Турецкая элегия;Я арфу дал тебе царицу песней славы;1830;Я;Я65;Я65жмжм;Подражание Байрону;Подснежник;СПб;1830;;;93-94;alm;;Я;65;жмжм;nc;core
232;Иван Козлов;Козлов И.И.;Элегия;Вчера в лесу, я грустью увлечен;1831;Я;Я5;Я5м;Вольное подражание Св. Григорию Назианзину. Посвящено Его Сиятельству Князю Александру Николаевичу Голицыну;Сиротка;М;1831;;;112-116;alm;;Я;5;м;canon;core
236; 1.7. -;[1.7.-];Элегия;Моя промотанная младость;1830;Я;Я4;Я4неурег;;Комета;М;1830;;;69;alm;;Я;4;неурег;nc;core
237; -н-;Селиванов И.В.;Элегия;Где дни счастливых обольщений;1830;Я;Я4;Я4жммж;;Комета;М;1830;;;110-112;alm;;Я;4;жммж;nc;core
239;Н. Савостьянов;[Савостьянов Н.];Элегия;Иной среди забав в восторгах упоенья;1824;Я;Я6;Я6жмжм;;Украинский журнал;;1824;;№ 11;241-242;per;;Я;6;жмжм;nc;core
240;Николай Градовский;[Градовский Николай];Сетование Овидия;Не берегу Днестра певец унылой;1825;Я;ЯВ;ЯВжмжм;Элегия;Украинский журнал;;1825;;№ 1;40-41;per;;Я;В;жмжм;nc;core
242;Ю.;[Ю.];Елегия;Как ненавистный звук цепей;1825;Я;Я6;Я6мжмж;;Украинский журнал;;1825;;№ 15;170;per;;Я;6;мжмж;nc;core
243;Ф. Морачевский;Морачевский Ф.С.;Вечер;Когда светило дня последний путь свершает;1825;Я;Я6664;Я6664жммж;Элегия;Украинский журнал;;1825;;№ 23-24;361-363;per;;Я;6664;жммж;nc;core
245;Гр. Хвостов;Хвостов Д.И.;Элегия Императрице Матери на кончину Королевы Виртембергской;Ты плачешь и тебе состраждет вся россия;1821;Я;Я6;Я6неурег;;Карманная библиотека Аонид;СПб;1821;;;63-66;alm;;Я;6;неурег;nc;core
248;Ив. Бороздна;Бороздна И.П.;Одиночество;Как часто на горе под дубом наклоненным;1823;Я;Я6;Я6жмжм;Элегия из Ламартина;ВЕ;;1823;;№ 13;15-17;per;;Я;6;жмжм;nc;core
249;И. Бакунин;Бакунин И.М.;Элегия;Уже вечернею росой;1824;Я;Я4;Я4мжмж;;НЛ;;1824;Кн. 9;Сентябрь;134-136;per;Перепечатано: СНРС. Ч. 2. СПб., 1826. С. 286-288.;Я;4;мжмж;nc;core
250;В. Туманский;Туманский В.И.;Монастырь;В туманно влаге вод потух луч золотой;1818;Я;Я64646663;Я64646663мжмжмжжм;Элегия;Благонамеренный;;1818;;№ 5;135-139;per;;Я;64646663;мжмжмжжм;nc;core
251;В. Туманский;Туманский В.И.;Слабость;Все кончено я разорвал;1818;Я;ЯВ;ЯВнеурег;Элегия (указ. в огл тома);Благонамеренный;;1818;;№ 5;145-147;per;;Я;В;неурег;nc;core
252;В. Туманский;Туманский В.И.;К друзьям детства;Уж гений младости моей;1818;Я;ЯВ;ЯВнеурег;Элегия (указ. в огл тома);Благонамеренный;;1818;;№ 6;281-282;per;;Я;В;неурег;nc;core
253;Ф. Рындовский;Рындовский Ф.М.;К Полине;Ты хочешь знать мой друг как дни мои текут;1818;Я;ЯВ;ЯВнеурег;Элегия;Благонамеренный;;1818;;№ 7;3-9;per;;Я;В;неурег;nc;core
254;Z.;[Z.];К друзьям;Давно ли о други мы вместе сидели;1818;Амф;Амф4;Амф4жмжм;Элегия;Благонамеренный;;1818;;№ 7;13-14;per;;Амф;4;жмжм;nc;core
255;В. Туманский;Туманский В.И.;Элегия;Любовь есть жизни сладострастье;1819;Я;Я4;Я4неурег;;Благонамеренный;;1819;;№ 10;214-215;per;;Я;4;неурег;canon;core
256;Милонов;Милонов М.В.;Падение листьев;Рассыпан осени рукою;1819;Я;Я4;Я4жмжм;;Благонамеренный;;1819;Ч. 7;№ 14;104-107;per;;Я;4;жмжм;nc;core
257;Плетнев;Плетнев П.А.;Герой;Простите радости приманчивой любви;1819;Я;Я65;Я65мжмж;Элегия;Благонамеренный;;1819;Ч. 8;№ 23-24;274-276;per;;Я;65;мжмж;nc;core
258;Ф... Рындовский;Рындовский Ф.М.;Вечерняя прогулка;О друг мой милый друг природа нас зовет;1819;Я;ЯВ;ЯВнеурег;Элегия (указ. в огл. тома);Благонамеренный;;1819;Ч. 8;№ 22;193-197;per;;Я;В;неурег;nc;core
259;А-ръ Н***въ;Норов А.С.;Лира принесенная в жертву;Аминту гордую ты лира прогневляешь;1819;Я;Я6;Я6жмжм;Элегия (указ. в огл. тома);Благонамеренный;;1819;Ч. 8;№ 22;197-199;per;;Я;6;жмжм;nc;core
260;Ал. Дуроп;Дуроп А.Х.;Торквато Тасс в изгнании;Соренто как люблю под сению дубравы;1819;Я;Я66446343;Я66446343жмжм;Элегия (указ. в огл. тома);Благонамеренный;;1819;Ч. 8;№ 22;201-204;per;;Я;66446343;жмжм;nc;core
261;П. Теряев;Теряев П.;Элегия на кончину Д... И... К...;Ужель К судьба еще не утомила;1820;Я;Я65;Я65жмжм;;Благонамеренный;;1820;Ч. 9;№ 5;321-325;per;;Я;65;жмжм;nc;core
262;Н. Анненков;Анненков Н.Е.;Элегия;Куда сокрылися дни юности златой;1820;Я;Я6;Я6неурег;Подражание французскому;Благонамеренный;;1820;Ч. 10;№ 7;54-55;per;;Я;6;неурег;nc;core
263;Н. Рейнсдорф (?);Рейнсдорф Н.П.;Скоротечность;О други как быстро те дни пролетели;1820;Амф;Амф4;Амф4жмжм;Элегии;Благонамеренный;;1820;Ч. 10;№ 8;122;per;;Амф;4;жмжм;nc;core
264;Н. Рейнсдорф;Рейнсдорф Н.П.;Странник;Друзья когда опять я с вами;1820;Я;Я4;Я4неурег;Элегии;Благонамеренный;;1820;Ч. 10;№ 8;123-124;per;;Я;4;неурег;nc;core
265;Н. Дубровин;[Н. Дубровин];Призывание;Приди о нежный друг в мое уединенье;1820;Я;Я6;Я6жмжм;Элегия (указ. в огл. тома);Благонамеренный;;1820;Ч. 10;№ 10;286-288;per;;Я;6;жмжм;nc;core
266;Ал. Норов;Норов А.С.;Остров;О милый друг оставим здешний край;1820;Я;ЯВ;ЯВнеурег;Элегия (указ. в огл. тома);Благонамеренный;;1820;Ч. 10;№ 10;288-290;per;;Я;В;неурег;nc;core
267;Валериян Никонов;[Валериян Никонов];Пробуждение;Заря бледнея потухает;1820;Я;Я4;Я4неурег;Элегия (указ. в огл. тома);Благонамеренный;;1820;Ч. 10;№ 11;370-372;per;;Я;4;неурег;nc;core
268;Вильгельм Тило;Тило В.К.;Эвадна;Подруги милые я с вами счастья время;1820;Я;Я6;Я6жмжм;Элегия (указ. в огл. тома);Благонамеренный;;1820;Ч. 10;№ 12;420-424;per;;Я;6;жмжм;nc;core
269;К. Рылеев;Рылеев К.Ф.;К Делии;Почто о Делия с коленопреклоненьем;1820;Я;Я6;Я6жжмм;Элегия (указ. в огл. тома);Благонамеренный;;1820;Ч. 11;№ 13;50-52;per;;Я;6;жжмм;nc;core
270;П-нъ;[П-н];Отчаяние любви;Над шумным потоком;1820;Амф;Амф4;Амф4жмжм;Элегия (указ. в огл. тома);Благонамеренный;;1820;Ч. 11;№ 13;52-53;per;;Амф;4;жмжм;nc;core
271;И. Великопольский;Великопольский И.Е.;Срубленная роща;О нимфы плачьте рощи нет;1820;Я;Я4;Я4неурег;Элегия;Благонамеренный;;1820;Ч. 11;№ 14;111-113;per;;Я;4;неурег;nc;core
272;*...а*...;[*…а*…];К птичке;О птичка милая не ведая заботы;1820;Я;ЯВ;ЯВнеурег;Элегия (указ. в огл. тома);Благонамеренный;;1820;Ч. 11;№ 14;113-114;per;;Я;В;неурег;nc;core
273;Князь Цертелев;Цертелев Н.А.;Призвание;Приди о Делия условный час настал;1820;Я;Я6;Я6неурег;Элегия (указ. в огл. тома);Благонамеренный;;1820;Ч. 11;№ 15;187;per;;Я;6;неурег;nc;core
274;Д. Глебов;Глебов Д.П.;Монастырь;Бьет полночь сладким сном почило все творенье;1820;Я;Я6;Я6жмжм;Элегия;Благонамеренный;;1820;Ч. 12;№ 19;46-49;per;Повторно опубликовано: Глебов Д. Элегии и другие стихотворения. М., 1827. С. 17-20;Я;6;жмжм;canon;core
275;...й;[…й];К Делии;Ты знаешь ли вину ужасного мученья;1820;Я;ЯВ;ЯВнеурег;Элегия (указ. в огл. тома);Благонамеренный;;1820;Ч. 12;№ 23-24;327-328;per;;Я;В;неурег;nc;core
276;А-р Н-в;Норов А.С.;Моя кончина;Поверенная чувств и тайных впечатлений;1821;Я;Я6;Я6неурег;Элегия;Благонамеренный;;1821;Ч. 13;№ 2;79-82;per;;Я;6;неурег;nc;core
277;А-м Норов;Норов А.С.;Больной Элизе;Младые грации амуры лейте слезы;1821;Я;Я6;Я6неурег;Элегия (указ. в огл. тома);Благонамеренный;;1821;Ч. 13;№ 2;82-83;per;;Я;6;неурег;nc;core
278;А. Крылов;Крылов А.А.;Разлука;На жалобы мои казалось отвечали;1821;Я;ЯВ;ЯВнеурег;Элегия (указ. в огл. тома);Благонамеренный;;1821;Ч. 13;№ 3;128-130;per;;Я;В;неурег;nc;core
279;Ф. Бальдауф;Бальдауф Ф.И.;Элегия;Восток румянится зарею;1821;Я;ЯВ;ЯВнеурег;;Благонамеренный;;1821;Ч. 13;№ 3;130-134;per;;Я;В;неурег;nc;core
280;Вильгельм Тило;Тило В.К.;На смерть соловья;Певец бездыханный напрасно унылый;1821;Амф;Амф4;Амф4жмжм;Элегия (указ. в огл. тома);Благонамеренный;;1821;Ч. 13;№ 6;312;per;;Амф;4;жмжм;nc;core
281;Вильгельм Тило;Тило В.К.;К весне;Опять опять ты к нам с безоблачных небес;1821;Я;Я64646663;Я64646663мжмж;Элегия (указ. в огл. тома);Благонамеренный;;1821;Ч. 14;№ 9;73-76;per;;Я;64646663;мжмж;nc;core
282;Б.-;[Б.-];Выздоровление;Я видел над главой моей;1821;Я;ЯВ;ЯВнеурег;Элегия (указ. в огл. тома);Благонамеренный;;1821;Ч. 14;№ 9;77-78;per;;Я;В;неурег;nc;core
283;В. Тило;Тило В.К.;Майская ночь;Луна плывет среди безоблачных небес;1821;Я;Я6664;Я6664мжмж;Элегия (указ. в огл. тома);Благонамеренный;;1821;Ч. 14;№ 11-12;183;per;;Я;6664;мжмж;nc;core
284;В. Тило;Тило В.К.;Желание;Ах прежде нежели навеки час кончины;1821;Я;Я6;Я6жмжм;Элегия (указ. в огл. тома);Благонамеренный;;1821;Ч. 15;№ 14;81-82;per;;Я;6;жмжм;nc;core
285;В. Григорьев (с франц.);Григорьев В.Н.;Одиночество;Как часто на горе в тени дубов ветвистых;1821;Я;Я65;Я65жмжм;Элегия;Благонамеренный;;1821;Ч. 15;№ 15;154-157;per;;Я;65;жмжм;nc;core
286;Ф. Бальдауф;Бальдауф Ф.И.;Вечер на берегу Байкала;Я не забыл мечты;1821;Я;ЯВ;ЯВмжмж;Элегия;Благонамеренный;;1821;Ч. 15;№ 16;205-209;per;;Я;В;мжмж;nc;core
287;А. Крылов;Крылов А.А.;Истребленная роща;Нимфы скрывайтесь бегите толпою;1821;Д;Д4;Д4жмжм;Элегия (указ. в огл. тома);Благонамеренный;;1821;Ч. 15;№ 16;209-211;per;;Д;4;жмжм;nc;core
288;В. Гр.;Григорьев В.Н.;Воззвание;О ты которая в сей горестной пустыне;1821;Я;Я65;Я65жмжм;Элегия (указ. в огл. тома);Благонамеренный;;1821;Ч. 15;№ 17-18;263-264;per;;Я;65;жмжм;nc;core
289;И. Богданов;Богданов И.;К родине;Благословляю вас поля страны родной;1821;Я;Я6;Я6мжмж;Элегия (указ. в огл. тома);Благонамеренный;;1821;Ч. 15;№ 17-18;265-266;per;;Я;6;мжмж;nc;core
290;;[Без подписи];Элегия на смерть молодой поселянки;Унылый и глухой со мшистой башни звон;1818;Я;Я6;Я6мжмж;;Соревнователь;;1818;Ч. 2;Кн. 3;383-387;per;;Я;6;мжмж;nc;core
291;Плетнев;Плетнев П.А.;Старость;Сокрылись призраки моих счастливых лет;1819;Я;Я65;Я65мжмж;Элегия;Соревнователь;;1819;Ч. 8;Кн. 10;88-91;per;;Я;65;мжмж;nc;core
292;Плетнев;Плетнев П.А.;Победа;Спеши Эрминия спеши мой друг за мной;1819;Я;Я65;Я65мжмж;Элегия;Соревнователь;;1819;Ч. 8;Кн. 10;100-102;per;;Я;65;мжмж;nc;core
293;И. Великопольский;Великопольский И.Е.;Чувства при виде Бородинского поля;Приветствую тебя о место славных дел;1822;Я;ЯВ;ЯВнеурег;Элегия (указ. в огл. тома);Благонамеренный;;1822;Ч. 17;№ 3;119-122;per;;Я;В;неурег;nc;core
294;-евъ;[-ев];На кончину А.Ф.П.;Под навесом липы в сени безмятежной;1822;Х;Х63;Х63ж;Элегия (указ. в огл. тома);Благонамеренный;;1822;Ч. 17;№ 3;126-127;per;;Х;63;ж;nc;core
295;В. Григорьев;Григорьев В.Н.;Вечер;Я здесь один на сей скале пустынной;1822;Я;Я5;Я5жмжм;Элегия (указ. в огл. тома);Благонамеренный;;1822;Ч. 17;№ 7;275-277;per;;Я;5;жмжм;nc;core
296;И. Великопольский;Великопольский И.Е.;К вероломной Темире;Темира я тебя не знал;1822;Я;Я4;Я4неурег;Элегия (указ. в огл. тома);Благонамеренный;;1822;Ч. 17;№ 8;325-326;per;;Я;4;неурег;nc;core
297;В. Г.;В. Григорьев ?;К луне;Ты некогда и мне приветлива была;1822;Я;Я65;Я65мжмж;Элегия (указ. в огл. тома);Благонамеренный;;1822;Ч. 17;№ 8;327;per;;Я;65;мжмж;nc;core
298;Н. К.;[Н.К.];Коринне;Волшебница твой ненавистен дар;1822;Я;Я5;Я5мжжм;Элегия (указ. в огл. тома);Благонамеренный;;1822;Ч. 17;№ 10;407-408;per;;Я;5;мжжм;nc;core
299;П.р.въ;[П.р.в];Изгнанник;Оставлен всеми одинок;1822;Я;Я43;Я43мжмж;Элегия (указ. в огл. тома);Благонамеренный;;1822;Ч. 17;№ 13;506-507;per;;Я;43;мжмж;nc;core
300;Крюков;Крюков А.П.;Могила М.;Чей холм одинокий под ивой густою;1822;Амф;Амф4442;Амф4442жмжм;Элегия (указ. в огл. тома);Благонамеренный;;1822;Ч. 19;№ 29;85-86;per;;Амф;4442;жмжм;nc;core
301;Г.;[Г.];Аминт;Она бежит отсель я грусти сын унылый;1822;Я;Я6;Я6жмжм;Элегия (указ. в огл. тома);Благонамеренный;;1822;Ч. 19;№  31;185-186;per;;Я;6;жмжм;nc;core
302;Пл. Ободовский;Ободовский П.Г.;Плач Давида о смерти Саула и Ионафана;На высотах Гильбои диких;1822;Я;Я6;Я6жмжм;Элегия;Благонамеренный;;1822;Ч. 19;№  38;459-461;per;;Я;6;жмжм;nc;core
303;С. Ст-ч;[С. Ст-ч];Ночь на кладбище;Я здесь окрест меня молчанье;1822;Я;Я4;Я4жмжм;Элегия (указ. в огл. тома);Благонамеренный;;1822;Ч. 19;№  38;462-463;per;;Я;4;жмжм;nc;core
304;А. Н-ъ;[А. Н-ъ];Элегия;В долине ветр шумит всхолмились тихи воды;1822;Я;Я6;Я6жмжм;;Благонамеренный;;1822;Ч. 19;№  39;501-502;per;;Я;6;жмжм;nc;core
305;А. В.;[А.В.];Элегия;Лелейте тихие Зефиры;1822;Я;Я4;Я4неурег;;Благонамеренный;;1822;Ч. 20;№ 44;194-195;per;;Я;4;неурег;nc;core
306;В.;Туманский В.И. (?);Элегия;Напрасно тоскуешь о днях золотых;1822;Амф;Амф4443;Амф4443мжмж;К Софии Т. 1822;Благонамеренный;;1822;Ч. 20;№ 48;336-337;per;;Амф;4443;мжмж;nc;core
307;Ф... Р...;Рындовский Ф.М.;Новый год;Гость радостный тебя я с горестью встречаю;1823;Я;ЯВ;ЯВнеурег;Элегия;Благонамеренный;;1823;Ч. 21;№ 4;284-287;per;;Я;В;неурег;nc;core
308;П. Шкляревский;Шкляревский П.П.;Песнь Оссиана;В долине сокровенной;1823;Я;Я3;Я3жмжм;Элегия (указ. в огл. тома);Благонамеренный;;1823;Ч. 21;№ 5;321-324;per;;Я;3;жмжм;nc;core
309;Ф. Ры-ский;Рындовский Ф.М.;Разлука с друзьями;Источник радостей и милых наслаждений;1823;Я;ЯВ;ЯВнеурег;Элегия;Благонамеренный;;1823;Ч. 22;№ 7;19-22;per;;Я;В;неурег;nc;core
310;Ир. Подшивалов;[Подшивалов Ир.];Элегия;Хочу отвыкнуть наслаждаться;1823;Я;Я4;Я4неурег;;Благонамеренный;;1823;Ч. 23;№ 14;143-144;per;;Я;4;неурег;nc;core
311;Платон Волков;Волков П.Г.;Воспоминание;Напрасно день за днем катится;1823;Я;Я4;Я4жмжм;Элегия (указ. в огл. тома);Благонамеренный;;1823;Ч. 23;№ 16;264-266;per;;Я;4;жмжм;nc;core
312;Волков;Волков П.Г.(?);Элегия;Увижу ли тебя о друг мой несравненный;1823;Я;ЯВ;ЯВнеурег;;Благонамеренный;;1823;Ч. 24;№ 19;60-61;per;;Я;В;неурег;nc;core
313;Мотыльков;[Мотыльков];Элегия;Ты заснуло навсегда;1824;Полиметр;Полиметр;Х43мж + Х4жм + Я6жмжмжж + Амф4;;Благонамеренный;;1824;Ч. 25;№ 5;351-353;per;;Полиметр;;;nc;core
314;Г...в;[Г…в];Возвращение воина на родину;Сын Марса ярого любезный;1824;Я;Я4;Я4жммж;Элегия (указ. в огл. тома);Благонамеренный;;1824;Ч. 25;№ 6;427-429;per;;Я;4;жммж;nc;core
316;В. Тепляков;Тепляков В. Г.;Вторая фракийская элегия. Томис;Свинцовой дымкою подернут свод небес;1831;Я;ЯВ;ЯВнеурег;;Одесский альманах на 1831 год;Одесса;1831;;;157-166;alm;;Я;В;неурег;nc;core
